============================================================
 Job        : hng_mn_ang_l2
 Job ID     : 14262
 Node       : hopper002
 CPUs       : 16
 Start      : Sat Mar 14 01:15:22 PM MDT 2026
============================================================

[ENV] Python     : /home/msrahman3/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/angle/layer2
[ENV] CUDA avail : True
[ENV] GPU info   : 
[ENV] PennyLane  : 0.42.3

[Data] Checking MNIST files in /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/MNIST ...
       FOUND    train-images-idx3-ubyte
       FOUND    train-labels-idx1-ubyte
       FOUND    t10k-images-idx3-ubyte
       FOUND    t10k-labels-idx1-ubyte

[RUN] Starting at Sat Mar 14 01:15:32 PM MDT 2026

[Config] Main device : cuda
[Config] CPU threads : 16
[Config] N_LAYERS    : 2
====================================================================
 Huang & Zhang (2023) Backdoor — Angle QMLP Replication
 Qubits=9  Layers=2  Encoding=Angle
 Target=7  eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 16
====================================================================
[Data] Full train : (60000, 9)   Test : (10000, 9)
[Data] Stratified train: (7000, 9)  Test: (10000, 9)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch 18 | Batch   10 | Acc:  42.34%  Loss: 1.8016
  Epoch 18 | Batch   20 | Acc:  41.25%  Loss: 1.8187
  Epoch 18 | Batch   30 | Acc:  39.90%  Loss: 1.8257
  Epoch 18 | Batch   40 | Acc:  39.88%  Loss: 1.8087
  Epoch 18 | Batch   50 | Acc:  39.59%  Loss: 1.8215
  Epoch 18 | Batch   60 | Acc:  39.17%  Loss: 1.8359
  Epoch 18 | Batch   70 | Acc:  38.84%  Loss: 1.8251
  Epoch 18 | Batch   80 | Acc:  38.67%  Loss: 1.8126
  Epoch 18 | Batch   90 | Acc:  38.96%  Loss: 1.7986
  Epoch 18 | Batch  100 | Acc:  39.23%  Loss: 1.7960
  Epoch 18 | Batch  110 | Acc:  39.31%  Loss: 1.7941
  [Proxy] Epoch 18  tr_loss=1.8126  tr_acc=39.31%  te_loss=1.7917  te_acc=41.28%
  Epoch 19 | Batch   10 | Acc:  42.34%  Loss: 1.8013
  Epoch 19 | Batch   20 | Acc:  41.56%  Loss: 1.8199
  Epoch 19 | Batch   30 | Acc:  40.83%  Loss: 1.8008
  Epoch 19 | Batch   40 | Acc:  40.35%  Loss: 1.8039
  Epoch 19 | Batch   50 | Acc:  40.19%  Loss: 1.8223
  Epoch 19 | Batch   60 | Acc:  39.97%  Loss: 1.7786
  Epoch 19 | Batch   70 | Acc:  40.20%  Loss: 1.7372
  Epoch 19 | Batch   80 | Acc:  40.16%  Loss: 1.8143
  Epoch 19 | Batch   90 | Acc:  40.50%  Loss: 1.7795
  Epoch 19 | Batch  100 | Acc:  40.36%  Loss: 1.8107
  Epoch 19 | Batch  110 | Acc:  40.46%  Loss: 1.7786
  [Proxy] Epoch 19  tr_loss=1.7952  tr_acc=40.46%  te_loss=1.7734  te_acc=41.97%
  Epoch 20 | Batch   10 | Acc:  36.09%  Loss: 1.8414
  Epoch 20 | Batch   20 | Acc:  36.72%  Loss: 1.8138
  Epoch 20 | Batch   30 | Acc:  38.07%  Loss: 1.7682
  Epoch 20 | Batch   40 | Acc:  39.26%  Loss: 1.7382
  Epoch 20 | Batch   50 | Acc:  39.97%  Loss: 1.7683
  Epoch 20 | Batch   60 | Acc:  40.60%  Loss: 1.7821
  Epoch 20 | Batch   70 | Acc:  40.33%  Loss: 1.8212
  Epoch 20 | Batch   80 | Acc:  40.12%  Loss: 1.7479
  Epoch 20 | Batch   90 | Acc:  40.33%  Loss: 1.7328
  Epoch 20 | Batch  100 | Acc:  40.41%  Loss: 1.7614
  Epoch 20 | Batch  110 | Acc:  40.21%  Loss: 1.7807
  [Proxy] Epoch 20  tr_loss=1.7778  tr_acc=40.21%  te_loss=1.7539  te_acc=42.63%
  Epoch 21 | Batch   10 | Acc:  41.72%  Loss: 1.7598
  Epoch 21 | Batch   20 | Acc:  40.23%  Loss: 1.7832
  Epoch 21 | Batch   30 | Acc:  40.05%  Loss: 1.7691
  Epoch 21 | Batch   40 | Acc:  40.27%  Loss: 1.7774
  Epoch 21 | Batch   50 | Acc:  40.03%  Loss: 1.7660
  Epoch 21 | Batch   60 | Acc:  41.20%  Loss: 1.7311
  Epoch 21 | Batch   70 | Acc:  41.16%  Loss: 1.7412
  Epoch 21 | Batch   80 | Acc:  40.88%  Loss: 1.8029
  Epoch 21 | Batch   90 | Acc:  40.89%  Loss: 1.7519
  Epoch 21 | Batch  100 | Acc:  41.08%  Loss: 1.7136
  Epoch 21 | Batch  110 | Acc:  41.16%  Loss: 1.7610
  [Proxy] Epoch 21  tr_loss=1.7597  tr_acc=41.16%  te_loss=1.7344  te_acc=43.38%
  Epoch 22 | Batch   10 | Acc:  40.94%  Loss: 1.7571
  Epoch 22 | Batch   20 | Acc:  41.64%  Loss: 1.7505
  Epoch 22 | Batch   30 | Acc:  42.55%  Loss: 1.7357
  Epoch 22 | Batch   40 | Acc:  42.19%  Loss: 1.7684
  Epoch 22 | Batch   50 | Acc:  42.22%  Loss: 1.7341
  Epoch 22 | Batch   60 | Acc:  42.47%  Loss: 1.7045
  Epoch 22 | Batch   70 | Acc:  42.50%  Loss: 1.7463
  Epoch 22 | Batch   80 | Acc:  42.29%  Loss: 1.7556
  Epoch 22 | Batch   90 | Acc:  42.20%  Loss: 1.7313
  Epoch 22 | Batch  100 | Acc:  41.81%  Loss: 1.7454
  Epoch 22 | Batch  110 | Acc:  42.16%  Loss: 1.7408
  [Proxy] Epoch 22  tr_loss=1.7427  tr_acc=42.16%  te_loss=1.7176  te_acc=43.80%
  Epoch 23 | Batch   10 | Acc:  45.47%  Loss: 1.7303
  Epoch 23 | Batch   20 | Acc:  43.05%  Loss: 1.7608
  Epoch 23 | Batch   30 | Acc:  42.66%  Loss: 1.7170
  Epoch 23 | Batch   40 | Acc:  42.73%  Loss: 1.7050
  Epoch 23 | Batch   50 | Acc:  42.59%  Loss: 1.7402
  Epoch 23 | Batch   60 | Acc:  42.86%  Loss: 1.7153
  Epoch 23 | Batch   70 | Acc:  42.88%  Loss: 1.6836
  Epoch 23 | Batch   80 | Acc:  42.71%  Loss: 1.7082
  Epoch 23 | Batch   90 | Acc:  42.52%  Loss: 1.7277
  Epoch 23 | Batch  100 | Acc:  42.72%  Loss: 1.7510
  Epoch 23 | Batch  110 | Acc:  42.47%  Loss: 1.7447
  [Proxy] Epoch 23  tr_loss=1.7258  tr_acc=42.47%  te_loss=1.7018  te_acc=44.47%
  Epoch 24 | Batch   10 | Acc:  44.84%  Loss: 1.7158
  Epoch 24 | Batch   20 | Acc:  43.67%  Loss: 1.7426
  Epoch 24 | Batch   30 | Acc:  44.79%  Loss: 1.6913
  Epoch 24 | Batch   40 | Acc:  44.57%  Loss: 1.6998
  Epoch 24 | Batch   50 | Acc:  44.00%  Loss: 1.7255
  Epoch 24 | Batch   60 | Acc:  44.06%  Loss: 1.6862
  Epoch 24 | Batch   70 | Acc:  43.95%  Loss: 1.7131
  Epoch 24 | Batch   80 | Acc:  43.52%  Loss: 1.7439
  Epoch 24 | Batch   90 | Acc:  43.54%  Loss: 1.6899
  Epoch 24 | Batch  100 | Acc:  43.39%  Loss: 1.6983
  Epoch 24 | Batch  110 | Acc:  43.14%  Loss: 1.6939
  [Proxy] Epoch 24  tr_loss=1.7091  tr_acc=43.14%  te_loss=1.6846  te_acc=45.06%
  Epoch 25 | Batch   10 | Acc:  43.12%  Loss: 1.6875
  Epoch 25 | Batch   20 | Acc:  42.73%  Loss: 1.7273
  Epoch 25 | Batch   30 | Acc:  43.07%  Loss: 1.6853
  Epoch 25 | Batch   40 | Acc:  42.85%  Loss: 1.7073
  Epoch 25 | Batch   50 | Acc:  43.09%  Loss: 1.7006
  Epoch 25 | Batch   60 | Acc:  43.23%  Loss: 1.6826
  Epoch 25 | Batch   70 | Acc:  43.57%  Loss: 1.7066
  Epoch 25 | Batch   80 | Acc:  43.91%  Loss: 1.6764
  Epoch 25 | Batch   90 | Acc:  43.68%  Loss: 1.7082
  Epoch 25 | Batch  100 | Acc:  43.73%  Loss: 1.6989
  Epoch 25 | Batch  110 | Acc:  43.73%  Loss: 1.6544
  [Proxy] Epoch 25  tr_loss=1.6941  tr_acc=43.73%  te_loss=1.6685  te_acc=45.52%
  Epoch 26 | Batch   10 | Acc:  45.00%  Loss: 1.6801
  Epoch 26 | Batch   20 | Acc:  43.98%  Loss: 1.7061
