============================================================
 Job        : hng_mn_ang_l10
 Job ID     : 14264
 Node       : hopper002
 CPUs       : 16
 Start      : Sun Mar 15 06:51:31 PM MDT 2026
============================================================

[ENV] Python     : /home/msrahman3/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/angle/layer10
[ENV] CUDA avail : True
[ENV] GPU info   : 
[ENV] PennyLane  : 0.42.3

[Data] Checking MNIST files in /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/MNIST ...
       FOUND    train-images-idx3-ubyte
       FOUND    train-labels-idx1-ubyte
       FOUND    t10k-images-idx3-ubyte
       FOUND    t10k-labels-idx1-ubyte

[RUN] Starting at Sun Mar 15 06:51:57 PM MDT 2026

[Config] Main device : cuda
[Config] CPU threads : 16
[Config] N_LAYERS    : 10
====================================================================
 Huang & Zhang (2023) Backdoor — Angle QMLP Replication
 Qubits=9  Layers=10  Encoding=Angle
 Target=7  eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 16
====================================================================
[Data] Full train : (60000, 9)   Test : (10000, 9)
[Data] Stratified train: (7000, 9)  Test: (10000, 9)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch 10 | Batch   10 | Acc:  51.88%  Loss: 1.5522
  Epoch 10 | Batch   20 | Acc:  49.30%  Loss: 1.5582
  Epoch 10 | Batch   30 | Acc:  47.76%  Loss: 1.5998
  Epoch 10 | Batch   40 | Acc:  48.67%  Loss: 1.5098
  Epoch 10 | Batch   50 | Acc:  48.16%  Loss: 1.5582
  Epoch 10 | Batch   60 | Acc:  48.15%  Loss: 1.5834
  Epoch 10 | Batch   70 | Acc:  48.28%  Loss: 1.5719
  Epoch 10 | Batch   80 | Acc:  48.30%  Loss: 1.5493
  Epoch 10 | Batch   90 | Acc:  48.18%  Loss: 1.5994
  Epoch 10 | Batch  100 | Acc:  47.94%  Loss: 1.5850
  Epoch 10 | Batch  110 | Acc:  47.87%  Loss: 1.5427
  [Proxy] Epoch 10  tr_loss=1.5645  tr_acc=47.87%  te_loss=1.5139  te_acc=49.35%
  Epoch 11 | Batch   10 | Acc:  46.72%  Loss: 1.5587
  Epoch 11 | Batch   20 | Acc:  47.19%  Loss: 1.5330
  Epoch 11 | Batch   30 | Acc:  47.60%  Loss: 1.5295
  Epoch 11 | Batch   40 | Acc:  47.46%  Loss: 1.5677
  Epoch 11 | Batch   50 | Acc:  47.62%  Loss: 1.5333
  Epoch 11 | Batch   60 | Acc:  48.10%  Loss: 1.5071
  Epoch 11 | Batch   70 | Acc:  48.10%  Loss: 1.5332
  Epoch 11 | Batch   80 | Acc:  47.87%  Loss: 1.5621
  Epoch 11 | Batch   90 | Acc:  48.39%  Loss: 1.4672
  Epoch 11 | Batch  100 | Acc:  48.70%  Loss: 1.5232
  Epoch 11 | Batch  110 | Acc:  48.93%  Loss: 1.4899
  [Proxy] Epoch 11  tr_loss=1.5277  tr_acc=48.93%  te_loss=1.4723  te_acc=52.10%
  Epoch 12 | Batch   10 | Acc:  51.25%  Loss: 1.5080
  Epoch 12 | Batch   20 | Acc:  50.70%  Loss: 1.4954
  Epoch 12 | Batch   30 | Acc:  49.58%  Loss: 1.5146
  Epoch 12 | Batch   40 | Acc:  49.49%  Loss: 1.4762
  Epoch 12 | Batch   50 | Acc:  49.50%  Loss: 1.5038
  Epoch 12 | Batch   60 | Acc:  49.27%  Loss: 1.5103
  Epoch 12 | Batch   70 | Acc:  49.40%  Loss: 1.5201
  Epoch 12 | Batch   80 | Acc:  49.43%  Loss: 1.5173
  Epoch 12 | Batch   90 | Acc:  49.97%  Loss: 1.4187
  Epoch 12 | Batch  100 | Acc:  49.80%  Loss: 1.4987
  Epoch 12 | Batch  110 | Acc:  49.83%  Loss: 1.5183
  [Proxy] Epoch 12  tr_loss=1.4983  tr_acc=49.83%  te_loss=1.4409  te_acc=53.52%
  Epoch 13 | Batch   10 | Acc:  50.31%  Loss: 1.4938
  Epoch 13 | Batch   20 | Acc:  51.17%  Loss: 1.4737
  Epoch 13 | Batch   30 | Acc:  50.62%  Loss: 1.5205
  Epoch 13 | Batch   40 | Acc:  50.23%  Loss: 1.5041
  Epoch 13 | Batch   50 | Acc:  50.81%  Loss: 1.4674
  Epoch 13 | Batch   60 | Acc:  51.22%  Loss: 1.4512
  Epoch 13 | Batch   70 | Acc:  51.70%  Loss: 1.4598
  Epoch 13 | Batch   80 | Acc:  51.76%  Loss: 1.4331
  Epoch 13 | Batch   90 | Acc:  51.79%  Loss: 1.4438
  Epoch 13 | Batch  100 | Acc:  51.52%  Loss: 1.5035
  Epoch 13 | Batch  110 | Acc:  51.70%  Loss: 1.4026
  [Proxy] Epoch 13  tr_loss=1.4685  tr_acc=51.70%  te_loss=1.4154  te_acc=53.90%
  Epoch 14 | Batch   10 | Acc:  53.44%  Loss: 1.4157
  Epoch 14 | Batch   20 | Acc:  53.52%  Loss: 1.4246
  Epoch 14 | Batch   30 | Acc:  52.40%  Loss: 1.4982
  Epoch 14 | Batch   40 | Acc:  52.23%  Loss: 1.4344
  Epoch 14 | Batch   50 | Acc:  52.03%  Loss: 1.4410
  Epoch 14 | Batch   60 | Acc:  51.95%  Loss: 1.4357
  Epoch 14 | Batch   70 | Acc:  52.12%  Loss: 1.4411
  Epoch 14 | Batch   80 | Acc:  51.80%  Loss: 1.4979
  Epoch 14 | Batch   90 | Acc:  51.72%  Loss: 1.4661
  Epoch 14 | Batch  100 | Acc:  52.00%  Loss: 1.4211
  Epoch 14 | Batch  110 | Acc:  52.23%  Loss: 1.3797
  [Proxy] Epoch 14  tr_loss=1.4414  tr_acc=52.23%  te_loss=1.3922  te_acc=54.87%
  Epoch 15 | Batch   10 | Acc:  53.91%  Loss: 1.3871
  Epoch 15 | Batch   20 | Acc:  53.91%  Loss: 1.4219
  Epoch 15 | Batch   30 | Acc:  53.18%  Loss: 1.4351
  Epoch 15 | Batch   40 | Acc:  52.89%  Loss: 1.4271
  Epoch 15 | Batch   50 | Acc:  52.25%  Loss: 1.4345
  Epoch 15 | Batch   60 | Acc:  52.58%  Loss: 1.3751
  Epoch 15 | Batch   70 | Acc:  52.43%  Loss: 1.4710
  Epoch 15 | Batch   80 | Acc:  52.93%  Loss: 1.4146
  Epoch 15 | Batch   90 | Acc:  52.74%  Loss: 1.4475
  Epoch 15 | Batch  100 | Acc:  52.95%  Loss: 1.3907
  Epoch 15 | Batch  110 | Acc:  52.76%  Loss: 1.4234
  [Proxy] Epoch 15  tr_loss=1.4207  tr_acc=52.76%  te_loss=1.3734  te_acc=54.80%
  Epoch 16 | Batch   10 | Acc:  54.84%  Loss: 1.3860
  Epoch 16 | Batch   20 | Acc:  53.28%  Loss: 1.4231
